tweet_id,tweet_text,topic,sentiment
1.46E+18,"We're talking about global approaches to COVID now. President of Kosovo Vjosa Osmani says her country was incredibly keen on following the rules early on. A targeted disinfo campaign from Russia has weakened efficacy of voluntary vaccines and public health measures, she says.",P,P
1.46E+18,"@2009Disco @PRider1980 @ernie_river Nope. You are wrong. The evidence shows that main drivers of reduced life expectancy are related to COVID and opioids. In 2020, many places noted a decrease in suicides. For example, BC had about a 7-9% decrease as did AB.",HEC,N
1.46E+18,There is a way to discuss this issue.  Spreading false information isn’t one of them.   Yet another disappointment from Councillor Tam.   https://t.co/465yeSp0ss,S,N
1.46E+18,"#Welcome to all delegates in #Halifax this weekend, participating in #HISF2021. I’m thrilled that this event is being held in-person once again! Very impressed with COVID protocols @WestinNS. Right now, we’re discussing post pandemic, how to heed expectations &amp; heal globalization https://t.co/9Y30fOfIyA",CR,P
1.46E+18,Covid Cases In The 700's Today &amp; This Gotta Be Why  😷 https://t.co/uYRuJ8yoMa,N,N
1.46E+18,"@ernie_river @2009Disco @PRider1980 Not debating that Dr Hinshaw spoke about the death. All I said was that it was an error, it was corrected and an apology was issued. That is not evidence that all COVID stats are wrong or misleading.",CTH,N
1.46E+18,@2009Disco @ernie_river Not all people require a booster. The booster is meant to provide additional protection to the most vulnerable. Here is a link to the NACI recommendation  https://t.co/86D2D945Jd,V,P
1.46E+18,"@2009Disco @PRider1980 @ernie_river I have reviewed death certificates. Can tell you that COVID has resulted in many places, including AB, having far more deaths that expected for 2020 and the trend has continued into 2021. Life expectancy dropped in 2020 as a result in AB and many other places.",HEC,P
1.46E+18,"@2009Disco @PRider1980 @ernie_river It is often about COVID overwhelming a person’s system. It reduces oxygen saturation and that can be the proverbial straw. More importantly, a death that is preventable is a tragedy and to suggest it is okay is disrespectful to their family and friends who morn the loss",HEC,N
1.46E+18,"@2009Disco @ernie_river I recommend them that you talk to a few ICU docs, like @drdagly who can speak to the devastating impacts of COVID. Maybe that would help with understanding this is not a cold or mild influenza. There are long COVID clinics for a reason",HEC,N
1.46E+18,Mobile Vaccination bus here in Edson at Galloway Museum-10am-6pm #timetogetvaxxed https://t.co/r9s9uECHXr,V,NL
1.46E+18,@Eat__Doughnuts The delay in acknowledging airborne transmission means the “safe” number isn’t known yet from a Covid perspective but most air quality experts recommend &lt;800ppm. We target under &lt;600 in eating areas to be extra safe.,SCS,P
1.46E+18,"@Chapmans_Canada #Chapmans #icecream doesn't deserve this.They have given back to the community &amp; have a record of being a great employer.  We are going to go get some #Chapmans #icecream posthaste to support a good, Canadian, corporate citizen. https://t.co/IdVibyxrpv",SCS,P
1.46E+18,Every “plea” from Alberta was simply a hope they can still make the federal gov. look bad. The same government who provided more covid relief to Alberta than any other province. https://t.co/BuYPDrpU9q,P,N
1.46E+18,"@Starfleetdad Feel better soon.  Though I've not had COVID, being sick sucks. May your supply of ginger ale and soda crackers be plentiful. Rest and hydrate. Hot, clear beverages may loosen the congestion.  Are you American? If so, I hope someone can make some turkey soup.",HEC,N
1.46E+18,"@angryablib @JamesMelville congratulations. so, your Mom can't be vaccinated.  exempt.  contracts covid, but new rules don't allow exemptions. your just getting by and can't afford hospital $$$$ Do you let your Mom die at home? Support this too?",V,N
1.46E+18,Quebec reported 815 new cases of COVID-19 on Saturday and three new deaths.  https://t.co/KUmSCLYVZj,N,N
1.46E+18,"Why doctors are so quiet re covid vaccines, by @JeanmarcBenoit https://t.co/EpvUPmsWSj",V,N
1.46E+18,@crashof2016 @CP24 Refugees come from many countries without access to vaccination which is why they don’t need to arrive vaccinated.,V,N
1.46E+18,"@JapanThis Japan will always be there when you’re ready to go back. I moved away in 2001, have gone back almost every year (before covid, anyway) and when I’m there it’s like I never left. May yet move back and live at least part of the year there when the kids are grown up.",SCS,N
1.46E+18,Just got boosted for COVID.  Love our health care system.  I booked this appointment at 9:30am this morning. @ New Life Church Collingwood https://t.co/b4mDMA9Oj4,CTH,N
1.46E+18,@davyay Probably not COVID’s fault.,HEC,N
1.46E+18,Context: we don’t yet have data on what the impacts of Long COVID are for the vaccinated. If the same and 0.1% of the population were affected the economic and social impacts would be horrendous. Any jurisdiction that is not acting to block transmission is guilty of genocide. https://t.co/TR2TRA3QXV,SCS,N
1.46E+18,NOTE: Nova Scotia is not issuing COVID-19 news releases or updating the COVID-19 data dashboard on weekends. Monday updates will include weekend data. https://t.co/vHuLT1cFED,N,NL
1.46E+18,@Smooch10046744 Scary..pfizer triggered SHINGLES..in me..hummm rethinking that second JAB NOW..SO SORRY..JEZZZ,V,N
1.46E+18,@KaipLisette @Paquarium19 @CTVNews People think the shot slows or stops spread or covid. All the data says no. The fear is driving people to give a shot with known serious side effects to a group with zero risk of serious illness/death. So why the shot for kids? Because fear mongering in adults.,V,N
1.46E+18,"@CTVNews This is so Horrible. We all know the shot does not slow or stop the spread. We all have access to the data to show children are at almost 0 risk of sever illness/death from covid. We all know the shot causes heart issues, blood clots and auto-immune especially in the young.",V,N
1.46E+18,#BoosterShot  done today by a very nice lady 🙋🏼‍♀️Thankyou  #Boosed #Pfizer #Booster 💪💪💪 #GetVaccinated 💉 #WearAMask #EndThePandemic 🦠 #Vaccinated #Vaccinate          #VaccineCentury https://t.co/IJoJPDsl7j,V,P
1.46E+18,SVDP Needs Your Support Due to the on-going COVID risks and restrictions we will NOT be collecting non-perishable food. You can also help by adopting a family for Christmas. For further details please call 647-641- 3411. Thank you. https://t.co/GPsGrlb6hp,CR,P
1.46E+18,Better Me Pharmacy on George Street is giving Covid boosters if you have received your invite. Give them a call. They had openings yesterday. My friend was able to take her dad in right away.,CTH,P
1.46E+18,"@HopeAldridge @BLGSinYEG @ABFreedumbFyter @jkenney Well, Brian Jean has demonstrated his COVID &amp; vaccination views are even more dangerous, and Jason Nixon is just dangerous….",P,N
1.46E+18,"@dazzlerbags Have you seen or been told they don’t have safety protocols in place? You’re making it sound like there’s gonna be crowds of symptomatic people Covid coughing all over people shopping for deodorant. I just don’t believe that’s gonna be the case but if it is, I get the concern.",SCS,P
1.46E+18,"Excerpt of my television report at Western University in London on the student expelled for trespass, not following the institution’s Covid-19 vaccination policy. #ontpoli https://t.co/3PLwjTac1F",N,NL
1.46E+18,"COVID 19 is not going anywhere and we have to learn living with this for ever now, WE ALL HAVE ACCEPTED IT so Government around the world must stop of LOCK DOWN and instead start adapting other options to deal with, WE CANNOT LIVE WITHOUT MONEY",P,N
1.46E+18,"@cuomodem @MichaelJDowling @Itsjustjems @NorthwellHealth @gstix1 @sciam @NINDSdirector We’d love to partner with others to be able to expand our study to include as many long haulers as possible to understand all the effects of COVID on the brain, so we can all work toward improving people’s lives. Much more funding needed for long haul research. @NIH @CIHR_IRSC",HEC,NL
1.46E+18,"Today, The Optimist Club of Centre Wellington-Fergus invites you to their Annual Bazaar at the @FergusLegionBr 275 until 2pm! Lots of vendors, delicious bake goods and so much more! 🎅❄🎁🙌 #TisTheSeason #Community   (Masks and proof of vaccination are required.) https://t.co/xU5uMBFOnY",CR,P
1.46E+18,"a delicious breakfast with my mom at a family favourite, the iconic @UnitedBakersTO. another moment of gratitude for return to life spurred by #vaccination to defeat COVID! https://t.co/FsTBEiJniL",V,P
1.46E+18,"“We must understand that those who are unvaccinated made their own choice for themselves in view of a different set of circumstances” - here’s the thing, we as people can understand that choice, but COVID doesn’t care",SCS,P
1.46E+18,@ayyrieslmao Gah I struggle with this one. I used to love going to these kinds of things and a couple of businesses I really appreciate are there. But they’ve done some pretty sketchy gymnastics to circumvent the covid restrictions.,CR,N
1.46E+18,@fordnation @KingaSurmaMPP Sure you are. That’s why you forced ANOTHER lockdown on small businesses AFTER your health ministry showed retail is less then .01% of covid https://t.co/71HGFh4dsx At Xmas. You will be known as the man that destroyed the PC party .  . https://t.co/HGZvCbrI2s,CR,N
1.46E+18,@acoyne I agree 100%  What's the point of mandates if the vaccinated can spread Covid the same as the unvaccinated?  Why does somebody who has had Covid and now has natural immunity need to get a vaccine?,V,N
1.46E+18,It’s seeming very likely COVID is now too infectious to eliminate but paradoxically that means an elimination strategy is the only way to stop the repeated epidemic waves we’ve experienced. #EndThePandemic https://t.co/ZTOF8SF4Tj,SCS,NL
1.46E+18,"US authorizes Pfizer, Moderna Covid-19 vaccine boosters for all adults: The US Food and Drug Administration (FDA) has authorized boosters of the Pfizer or BioNTech and Moderna Covid-19 vaccines for all adults. The agency expanded… https://t.co/fDx7fySgCq #Covid19 #Health",N,NL
1.46E+18,"@fordnation happy birthday Doug, this will be a year that you will remember but also remember that COVID-19 cases are now soaring &amp; although our ICU is coping now, we’re bracing ourselves for a tough time coming our way real soon, stricter measures will be needed",P,N
1.46E+18,"@dazzlerbags Let me put it like this: if retail outlets were able to enforce Covid safety protocols including some combination of limited capacity, appointments to enter, masks, sanitizing stations and social distancing, why do you think Shoppers can’t or won’t do that for testing?",CR,P
1.46E+18,"Brazil administers over 300 mn Covid-19 vaccine shots: Brazil has administered more than 300 million shots of Covid-19 vaccines since launching its vaccination campaign in January 2021, the Health Ministry has said. Some 157.6 million… https://t.co/4a85yu4bfN #Covid19 #Health",N,NL
1.46E+18,My baby is tired from her walk this morning lol 🐶❤️ #yorkie #YorkshireTerrier #pink #DOGE #DogsOnTwitter #Covid_19 #ontario https://t.co/N7LAswVjNn,S,P
1.46E+18,TTC to cut service on some routes starting Nov. 21 when COVID-19 vaccine policy takes effect https://t.co/E2Cl32COqg,CR,P
1.46E+18,"U.S. 🇺🇸 #VAERS COVID💉 INJURY REPORTS thru NOV 12, 2021  894,143 #AdverseReactions*  18,853 #DEATHS  30,010 PERMANENTLY #DISABLED 9,332 #HeartAttacks 13,237 #Myocarditis/Pericarditis  *Up 20K in one week. Fewer than 1% of reactions are ever reported to VAERS https://t.co/sA0qHRC4V7",N,NL
1.46E+18,Here's my metaphor - The Goat Head leads the Church of Covid. https://t.co/437zF2lr4J,S,N
1.46E+18,They are following the instructions of the Goat Head of The Church of Covid. Nothing else makes any sense. https://t.co/L1WXaMWarh,S,N
1.46E+18,"Especially, when they manufacture gain of function viruses in the lab paid for by the US tax payer by its 'Health Agency'. Deciples of the Church of The Goat Head Covid. https://t.co/cXCrb2d0lI",S,N
1.46E+18,"@SlaggitySlag My kids have had Covid, I’m very satisfied with the risk/reward of not vaccinating them against it. Flu and RSV are much more dangerous. We have no contact with immuno-compromised people, either.",V,N
1.46E+18,If you are hesitant about vaccinating your younger child please listen to @BogochIsaac as he so eloquently explains the Pfizer Vaccine for 5-11 year olds. 💉👍🏻 https://t.co/uCNrLyUrfs,V,P
1.46E+18,US CDC authorizes Covid-19 vaccine boosters for all adults: The United States Centers for Disease Control and Prevention (CDC) endorsed booster doses of Pfizer/BioNTech’s and Moderna’s Covid-19 vaccines for all US adults. “CDC continues… https://t.co/h9csCfpl0d #Covid19 #Health,N,NL
1.46E+18,They don’t play about covid restrictions in Toronto,CR,NL
1.46E+18,@JakeAReid We often refer to NB and NS when asked about what #pharmacy can do around the country to contribute to overall vaccination in the province. Look to our Atlantic friends as well as AB for what’s possible! And in provinces where we are closer to 20% - we can do more @pharmacy_CAN,CTH,P
1.46E+18,"@cbcfreshair what side affects, if any, we’re reported by Pfizer for the shot? Is the myocarditis a factor? Have a 7yr old girl and want to know what to look out for.",HEC,N
1.46E+18,@SportsCamDude @globalnews 1300 babies (at zero risk) dead of COVID in Brazil.,HEC,N
